State Name,County Name,FIPS,Total Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino","Percent Asian, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent High School Diploma or Higher,Percent Bachelor's Degree or Higher
Alabama,Autauga,01001,59947,71.43309923765993,20.424708492501708,1.1343353295410945,3.818372896058185,2.605634977563515,51.41374881145011,37.52314544514321,16.27938011910521,72481,0,91.31957866254349,29.13848087
Alabama,Baldwin,01003,246989,81.83886731797773,8.060682864419064,1.0332443954993946,5.780014494572633,4.137836097963877,51.26908485803011,33.37759981213738,21.670195838681074,78775,3.0273362675906457,91.8098498,33.689508410836126
Alabama,Barbour,01005,24643,44.03684616321065,46.35393418009171,0.5884023860731242,6.224891449904638,3.2625897820882197,47.538854847218275,35.304143164387455,20.107129813740208,46042,0,78.13227363042861,10.62730627306273
Alabama,Bibb,01007,22130,74.00813375508359,19.783099864437414,0.44735653,3.4613646633529145,1.8526886579304112,46.909173068233166,34.87121554450972,17.37912336,52541,0,82.26119636705292,11.725649859066708
Alabama,Blount,01009,59518,88.14140260089385,1.2029974125474647,0.11593131489633388,10.299405221949662,5.006888672334419,49.75637622,36.75694747807386,18.594374810981552,64190,4.998539506353147,83.20784961383397,15.818234808374218
Alabama,Bullock,01011,10058,22.79777291708093,69.45714853847683,0.41757804732551207,5.9852853449990056,3.042354344800159,45.555776496321336,35.67309604295089,18.562338437065023,31310,0,74.81084055578484,8.116659788141423
Alabama,Butler,01013,18630,50.82125603864734,44.69672571121846,1.3311862587224907,1.6961889425657541,2.324208266237252,53.585614600107355,35.06172839506173,22.012882447665056,44755,0,86.96481721743112,13.538884224986644
Alabama,Calhoun,01015,116090,70.38160048238436,21.922646222758203,0.849341029,4.641226634507709,2.9089499526229647,51.61168059264364,38.56318373675596,18.223791885605994,55029,0,86.41158932803302,20.64954259358357
Alabama,Chambers,01017,34192,54.96607393542349,38.40372016846046,0.23689751988769303,4.012634534,2.0618858212447355,52.63511932615816,35.50830603649977,20.294220870379036,49656,0,83.71279179875664,14.907983037589032
Alabama,Cherokee,01019,25443,90.75580709821955,3.8124435011594544,0.23582124749439923,1.8433360845812208,2.047714499076367,50.40679165192784,30.605667570648116,24.446802656919388,53863,3.8816295157571097,82.42809822,16.499290183500708
Alabama,Chilton,01021,45992,80.72925726213255,9.466863802400418,0.434858236,10.234388589319881,5.018264046,51.19586014959123,38.60019133762393,16.96381979474691,65603,0,85.43495738864769,16.468885672937773
Alabama,Choctaw,01023,12380,56.74474959612278,37.55250403877221,0.024232633279483037,1.1631663974151858,0.48465266558966075,52.16478190630048,32.17285945072698,24.361873990306947,47813,5.034793286942285,86.18238364989448,15.761412862379206
Alabama,Clarke,01025,22543,51.39511156,44.66574990019075,0.5278800514572151,1.2198908752162534,1.117863638379985,52.42869183338509,35.48329858492659,21.061970456460983,49249,0,86.07427055702918,14.97410635
Alabama,Clay,01027,14192,80.02395716,12.810033821871478,0.3804960541149943,3.2764937993235628,1.0498872604284104,51.6065389,32.74379932356257,20.560879368658398,55250,0,83.19491939423547,14.714215925744991
Alabama,Cleburne,01029,15426,92.75897834824323,3.643199792558019,0.11668611435239205,2.1068326202515237,0.6806690003889537,49.74718008556982,34.56502009594192,20.115389601970698,55345,0,85.88823262153566,16.992276238073604
Alabama,Coffee,01031,54920,71.07793153678077,16.221777130371446,1.1489439184268027,9.825200291332848,4.6340131099781505,50.30043699927167,38.07538237436271,17.199563000728332,68353,0,87.11199270894762,22.484318876320163
Alabama,Colbert,01033,58022,77.32584192202957,15.495846403088484,0.4825755747819792,3.5314191168866986,1.6528213436282788,51.57526455482403,34.57136948054186,20.42845817103857,60628,3.1361209964412815,87.35216261505208,21.655293003375668
Alabama,Conecuh,01035,11275,50.19955654101995,45.24168514412417,0.079822616,1.0376940133037695,0.8337028824833703,53.32150776053215,32.65631929046563,24.913525498891353,41327,0,89.33217692974848,13.418411597075952
Alabama,Coosa,01037,10300,66.07766990291262,29.194174757281555,0.2815533980582524,2.4563106796116503,0.4563106796116505,49.29126213592233,29.22330097087379,25.31067961165048,57355,0,83.82221083642885,13.859356987319071
