YEAR,STATE,COUNTY,PARTY,VOTES
2024,AR,Boone County,Republican,13968
2024,AR,Boone County,Democratic,2854
2024,AR,Bradley County,Republican,2213
2024,AR,Bradley County,Democratic,961
2024,AR,Calhoun County,Republican,1674
2024,AR,Calhoun County,Democratic,379
2024,AR,Carroll County,Republican,7470
2024,AR,Carroll County,Democratic,3812
2024,AR,Chicot County,Republican,1658
2024,AR,Chicot County,Democratic,1796
2024,AR,Clark County,Republican,4526
2024,AR,Clark County,Democratic,2959
2024,AR,Clay County,Republican,3968
2024,AR,Clay County,Democratic,907
2024,AR,Cleburne County,Republican,10595
2024,AR,Cleburne County,Democratic,1941
2024,AR,Cleveland County,Republican,2804
2024,AR,Cleveland County,Democratic,524
2024,AR,Columbia County,Republican,5367
2024,AR,Columbia County,Democratic,2466
2024,AR,Conway County,Republican,5893
2024,AR,Conway County,Democratic,2449
2024,AR,Craighead County,Republican,25152
2024,AR,Craighead County,Democratic,11210
2024,AR,Crawford County,Republican,18615
2024,AR,Crawford County,Democratic,4753
2024,AR,Crittenden County,Republican,7028
2024,AR,Crittenden County,Democratic,7362
2024,AR,Cross County,Republican,4753
2024,AR,Cross County,Democratic,1642
2024,AR,Dallas County,Republican,1482
2024,AR,Dallas County,Democratic,798
2024,AR,Desha County,Republican,1805
2024,AR,Desha County,Democratic,1638
2024,AR,Drew County,Republican,4203
2024,AR,Drew County,Democratic,2050
2024,AR,Faulkner County,Republican,35357
2024,AR,Faulkner County,Democratic,17752
2024,AR,Franklin County,Republican,5582
2024,AR,Franklin County,Democratic,1232
2024,AR,Fulton County,Republican,4040
2024,AR,Fulton County,Democratic,906
2024,AR,Garland County,Republican,28359
2024,AR,Garland County,Democratic,13015
2024,AR,Grant County,Republican,6755
2024,AR,Grant County,Democratic,1192
2024,AR,Greene County,Republican,12617
2024,AR,Greene County,Democratic,2935
2024,AR,Hempstead County,Republican,4193
2024,AR,Hempstead County,Democratic,1776
2024,AR,Hot Spring County,Republican,9226
2024,AR,Hot Spring County,Democratic,2818
2024,AR,Howard County,Republican,3246
2024,AR,Howard County,Democratic,1158
2024,AR,Independence County,Republican,11023
2024,AR,Independence County,Democratic,2689
2024,AR,Izard County,Republican,4854
2024,AR,Izard County,Democratic,949
2024,AR,Jackson County,Republican,3509
2024,AR,Jackson County,Democratic,1183
2024,AR,Jefferson County,Republican,8468
2024,AR,Jefferson County,Democratic,12802
2024,AR,Johnson County,Republican,6766
2024,AR,Johnson County,Democratic,2107
2024,AR,Lafayette County,Republican,1589
2024,AR,Lafayette County,Democratic,698
2024,AR,Lawrence County,Republican,4608
2024,AR,Lawrence County,Democratic,965
2024,AR,Lee County,Republican,1181
2024,AR,Lee County,Democratic,1270
2024,AR,Lincoln County,Republican,2502
2024,AR,Lincoln County,Democratic,813
2024,AR,Little River County,Republican,3744
2024,AR,Little River County,Democratic,1084
2024,AR,Logan County,Republican,6567
2024,AR,Logan County,Democratic,1464
2024,AR,Lonoke County,Republican,23225
2024,AR,Lonoke County,Democratic,6790
2024,AR,Madison County,Republican,5885
2024,AR,Madison County,Democratic,1491
2024,AR,Marion County,Republican,6230
2024,AR,Marion County,Democratic,1501
2024,AR,Miller County,Republican,11842
2024,AR,Miller County,Democratic,3769
2024,AR,Mississippi County,Republican,6963
2024,AR,Mississippi County,Democratic,3574
2024,AR,Monroe County,Republican,1385
2024,AR,Monroe County,Democratic,1002
2024,AR,Montgomery County,Republican,2987
2024,AR,Montgomery County,Democratic,645
2024,AR,Nevada County,Republican,2002
2024,AR,Nevada County,Democratic,849
2024,AR,Newton County,Republican,3063
2024,AR,Newton County,Democratic,644
2024,AR,Ouachita County,Republican,5056
2024,AR,Ouachita County,Democratic,3412
2024,AR,Perry County,Republican,3559
2024,AR,Perry County,Democratic,923
2024,AR,Phillips County,Republican,2098
2024,AR,Phillips County,Democratic,2754
2024,AR,Pike County,Republican,3746
2024,AR,Pike County,Democratic,560
2024,AR,Poinsett County,Republican,5731
2024,AR,Poinsett County,Democratic,1235
2024,AR,Polk County,Republican,6987
2024,AR,Polk County,Democratic,1145
2024,AR,Pope County,Republican,18118
2024,AR,Pope County,Democratic,5487
2024,AR,Prairie County,Republican,2628
2024,AR,Prairie County,Democratic,524
2024,AR,Pulaski County,Republican,57977
2024,AR,Pulaski County,Democratic,92038
2024,AR,Randolph County,Republican,5367
2024,AR,Randolph County,Democratic,1138
2024,AR,Saline County,Republican,39736
2024,AR,Saline County,Democratic,16609
2024,AR,Scott County,Republican,2913
2024,AR,Scott County,Democratic,425
2024,AR,Searcy County,Republican,3305
2024,AR,Searcy County,Democratic,511
2024,AR,Sebastian County,Republican,30719
2024,AR,Sebastian County,Democratic,13652
2024,AR,Sevier County,Republican,3772
2024,AR,Sevier County,Democratic,862
2024,AR,Sharp County,Republican,5978
2024,AR,Sharp County,Democratic,1316
2024,AR,St. Francis County,Republican,2909
2024,AR,St. Francis County,Democratic,2953
2024,AR,Stone County,Republican,4808
2024,AR,Stone County,Democratic,1089
2024,AR,Union County,Republican,10196
